,FinalURL,CustomParameter,Identifier
0,https://www.overstock.com/search?keywords=&additionalKeywords=bracelet+beads&taxonomy=sub19366&sortOption=Relevance&searchtype=guidedNav,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273732825&ds_s_kwgid=58700001315919095""}",Generic_Standard_Jewelry
1,"https://www.overstock.com/Jewelry-Watches/Jewelry/blue-topaz,Gemstone,/k,stone,/13/dept.html?sort=Recommended","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273733413&ds_s_kwgid=58700001315919170""}",Generic_Standard_Jewelry
2,https://www.overstock.com/Jewelry-Watches/Gemstone-Necklaces/14588/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262931575&ds_s_kwgid=58700001317599610""}",Generic_Standard_Jewelry
3,"https://www.overstock.com/Jewelry-Watches/Rings/Sterling-Silver,silver,/metal,k,/2360/cat.html?searchtype=guidedNav","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272087294&ds_s_kwgid=58700001315918912""}",Generic_Standard_Jewelry
4,https://www.overstock.com/Jewelry-Watches/Engagement-Rings/14657/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272106776&ds_s_kwgid=58700001315919539""}",Generic_Standard_Jewelry
5,https://www.overstock.com/Jewelry-Watches/Mens-Watches/3434/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273734355&ds_s_kwgid=58700001316896484""}",Generic_Standard_Jewelry
6,https://www.overstock.com/search?keywords=gold&taxonomy=cat2357&refinemetal=Gold&refinenecklace+type=Pendant&searchtype=guidedNav,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262939546&ds_s_kwgid=58700001316896100""}",Generic_Standard_Jewelry
7,"https://www.overstock.com/Jewelry-Watches/Jewelry/Black-Hills-Gold,/brand,/13/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272104607&ds_s_kwgid=58700001317606288""}",Generic_Standard_Jewelry
8,https://www.overstock.com/Jewelry-Watches/Childrens-Earrings/14468/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273733977&ds_s_kwgid=58700001317606384""}",Generic_Standard_Jewelry
9,https://www.overstock.com/search?keywords=pearl+choker,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273725859&ds_s_kwgid=58700001315918600""}",Generic_Standard_Jewelry
10,"https://www.overstock.com/Jewelry-Watches/Rings/White-Gold,Bands,white-gold-wedding-bands,/metal,ring-style,k,/2360/cat.html?sort=Relevance&searchtype=Header","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273733956&ds_s_kwgid=58700001317606381""}",Generic_Standard_Jewelry
11,https://www.overstock.com/search?keywords=&taxonomy=dep13&searchtype=guidedNav&additionalKeywords=cat,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262931479&ds_s_kwgid=58700001315918993""}",Generic_Standard_Jewelry
12,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=wedding,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272105624&ds_s_kwgid=58700001316896892""}",Generic_Standard_Jewelry
13,"https://www.overstock.com/Jewelry-Watches/Earrings/blue,/k,/2353/cat.html?sort=Recommended","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262939777&ds_s_kwgid=58700001316896166""}",Generic_Standard_Jewelry
14,https://www.overstock.com/search?keywords=Tie+Bars&SearchType=Header,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273712122&ds_s_kwgid=58700001315913569""}",Generic_Standard_Jewelry
15,https://www.overstock.com/Jewelry-Watches/Childrens-Jewelry/2351/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262947232&ds_s_kwgid=58700001317606609""}",Generic_Standard_Jewelry
16,"https://www.overstock.com/Jewelry-Watches/Jewelry/Sodalite,/gemstone,/13/dept.html?count=60","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262940161&ds_s_kwgid=58700001315913608""}",Generic_Standard_Jewelry
17,"https://www.overstock.com/Jewelry-Watches/Jewelry/pink,Gemstone,/k,stone,/13/dept.html?sort=Recommended","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272099042&ds_s_kwgid=58700001316895209""}",Generic_Standard_Jewelry
18,https://www.overstock.com/search?keywords=band&taxonomy=cat2360&refinering+style=Bands&searchtype=guidedNav,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262944478&ds_s_kwgid=58700001316896676""}",Generic_Standard_Jewelry
19,https://www.overstock.com/Jewelry-Watches/Mens-Wedding-Bands/14662/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272100545&ds_s_kwgid=58700001316896199""}",Generic_Standard_Jewelry
20,https://www.overstock.com/search?keywords=silver+tie+bars&SearchType=Header,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262938730&ds_s_kwgid=58700001317599376""}",Generic_Standard_Jewelry
21,https://www.overstock.com/search?keywords=&taxonomy=cat2353&searchtype=guidedNav&additionalKeywords=men%27s+earrings,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272098340&ds_s_kwgid=58700001316895113""}",Generic_Standard_Jewelry
22,"https://www.overstock.com/Jewelry-Watches/Earrings/Topaz,/gemstone,/2353/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272104820&ds_s_kwgid=58700001316896805""}",Generic_Standard_Jewelry
23,"https://www.overstock.com/Jewelry-Watches/Rings/Bands,Citrine,/ring-style,gemstone,/2360/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273730095&ds_s_kwgid=58700001315919032""}",Generic_Standard_Jewelry
24,https://www.overstock.com/search?keywords=&taxonomy=dep13&refinemetal=Titanium&searchtype=guidedNav&additionalKeywords=chain,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273712539&ds_s_kwgid=58700001317605661""}",Generic_Standard_Jewelry
25,https://www.overstock.com/search?keywords=&taxonomy=cat1320&searchtype=guidedNav&additionalKeywords=tiaras,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273735963&ds_s_kwgid=58700001315921264""}",Generic_Standard_Jewelry
26,https://www.overstock.com/Jewelry-Watches/Mens-Watches/3434/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272099480&ds_s_kwgid=58700001317605763""}",Generic_Standard_Jewelry
27,https://www.overstock.com/Jewelry-Watches/Watches/292/dept.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272086895&ds_s_kwgid=58700001317599544""}",Generic_Standard_Jewelry
28,"https://www.overstock.com/Jewelry-Watches/Necklaces/Bead,/stone,/2357/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273732741&ds_s_kwgid=58700001315919077""}",Generic_Standard_Jewelry
29,"https://www.overstock.com/Jewelry-Watches/Jewelry-Sets/Cubic-Zirconia~Pearl,bridal-jewelry-set,/stone,k,/2355/cat.html?searchtype=guidedNav","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272103548&ds_s_kwgid=58700001317606762""}",Generic_Standard_Jewelry
30,"https://www.overstock.com/Jewelry-Watches/Rings/Titanium,Bands,/metal,ring-style,/2360/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272100047&ds_s_kwgid=58700001317605910""}",Generic_Standard_Jewelry
31,https://www.overstock.com/Jewelry-Watches/Gold-Charms/19355/subcat.html,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273732090&ds_s_kwgid=58700001316896688""}",Generic_Standard_Jewelry
32,https://www.overstock.com/Jewelry-Watches/Childrens-Jewelry/2351/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272099177&ds_s_kwgid=58700001317605697""}",Generic_Standard_Jewelry
33,"https://www.overstock.com/Jewelry-Watches/Watches/Divers,/type,/292/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272100065&ds_s_kwgid=58700001317605913""}",Generic_Standard_Jewelry
34,"https://www.overstock.com/Jewelry-Watches/Sterling-Silver-Necklaces/Chain,chain,/necklace-type,k,/14599/subcat.html?searchtype=guidedNav","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272087327&ds_s_kwgid=58700001315918918""}",Generic_Standard_Jewelry
35,"https://www.overstock.com/Jewelry-Watches/Gemstone-Rings/Aquamarine,/gemstone,/14640/subcat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262931215&ds_s_kwgid=58700001315913896""}",Generic_Standard_Jewelry
36,"https://www.overstock.com/Jewelry-Watches/Watches/Sport,/type,/292/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272098781&ds_s_kwgid=58700001316895173""}",Generic_Standard_Jewelry
37,"https://www.overstock.com/Jewelry-Watches/Jewelry/Rhinestone,/stone,/13/dept.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273735735&ds_s_kwgid=58700001316897471""}",Generic_Standard_Jewelry
38,"https://www.overstock.com/Jewelry-Watches/Earrings/black-pearl,/k,/2353/cat.html?sort=Recommended","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262941907&ds_s_kwgid=58700001315918690""}",Generic_Standard_Jewelry
39,https://www.overstock.com/search?keywords=&taxonomy=dep13&searchtype=guidedNav&additionalKeywords=glass+beads,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272103719&ds_s_kwgid=58700001316896589""}",Generic_Standard_Jewelry
40,https://www.overstock.com/Jewelry-Watches/Anklets/17536/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262944091&ds_s_kwgid=58700001317606018""}",Generic_Standard_Jewelry
41,"https://www.overstock.com/Jewelry-Watches/Watch-Boxes/Leather,/material,/20583/subcat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262947631&ds_s_kwgid=58700001317608391""}",Generic_Standard_Jewelry
42,"https://www.overstock.com/search?keywords=murano+glass+beads&taxonomy=sto4&ralt=sto39,cat3224,cat2357&TID=AR:TRUE&searchtype=Header","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273731379&ds_s_kwgid=58700001316896283""}",Generic_Standard_Jewelry
43,https://www.overstock.com/Jewelry-Watches/Jewelry/13/dept.html?TID=TN:JW:JW,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262944067&ds_s_kwgid=58700001317606015""}",Generic_Standard_Jewelry
44,"https://www.overstock.com/Jewelry-Watches/Earrings/Hoop,/style,/2353/cat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272102714&ds_s_kwgid=58700001316896400""}",Generic_Standard_Jewelry
45,"https://www.overstock.com/Jewelry-Watches/Anklets/Silver,/color,/17536/subcat.html?","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273734496&ds_s_kwgid=58700001317606312""}",Generic_Standard_Jewelry
46,https://www.overstock.com/search?keywords=&taxonomy=sub14506&searchtype=guidedNav&additionalKeywords=drop,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272087090&ds_s_kwgid=58700001316894480""}",Generic_Standard_Jewelry
47,https://www.overstock.com/search?keywords=&taxonomy=dep292&moreon_sale=On+Sale&searchtype=guidedNav&additionalKeywords=wrist+watch,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262941052&ds_s_kwgid=58700001317605730""}",Generic_Standard_Jewelry
48,"https://www.overstock.com/Jewelry-Watches/Necklaces/30-Inch,long,/length,k,/2357/cat.html?searchtype=guidedNav","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273725829&ds_s_kwgid=58700001315918597""}",Generic_Standard_Jewelry
49,https://www.overstock.com/Jewelry-Watches/Locket-Necklaces/14585/subcat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011262939426&ds_s_kwgid=58700001315913116""}",Generic_Standard_Jewelry
50,"https://www.overstock.com/Jewelry-Watches/Bridal-Sets/Diamond,/stone,/14656/subcat.html?","{""cidmapping"":""128514;"",""dssagcrid"":""lid=43700011272103629&ds_s_kwgid=58700001317606774""}",Generic_Standard_Jewelry
51,https://www.overstock.com/search?keywords=pearl+choker,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273725847&ds_s_kwgid=58700001315918600""}",Generic_Standard_Jewelry
52,"https://www.overstock.com/Jewelry-Watches/Jewelry/kunzite,Gemstone,/k,stone,/13/dept.html?sort=Recommended","{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273731139&ds_s_kwgid=58700001315918753""}",Generic_Standard_Jewelry
53,https://www.overstock.com/Jewelry-Watches/Mens-Watches/3434/cat.html?,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272099483&ds_s_kwgid=58700001317605763""}",Generic_Standard_Jewelry
54,https://www.overstock.com/Jewelry-Watches/Mens-Watches/3434/cat.html?TID=TN:WA:MWatch,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011272086877&ds_s_kwgid=58700001317599541""}",Generic_Standard_Jewelry
55,https://www.overstock.com/search?keywords=pearl+choker,"{""cidmapping"":""128514"",""dssagcrid"":""lid=43700011273725856&ds_s_kwgid=58700001315918600""}",Generic_Standard_Jewelry
